username_monitor,username_estudiante
1226118,1722487
1226118,1724739
1226118,1726385
1226118,1728180
1224252,1770008
1224252,1771456
1224252,1723147
1224252,1724119
1224252,1727872
1224252,1729249
1224252,1730903
1224252,1733132
1224252,1735711
1224252,1735872
1145326,1734677
1145326,1723127
1145326,1727052
1145326,1729019
1437617,1723102
1145326,1550001
1450058,1558550
1450058,1558551
1450058,1558552
1450058,1558553
1425987,1770802
1425987,1770105
1425987,1729849
1425987,1734767
1425987,1730818
1538691,1724275
1538691,1726997
1538691,1730190
1538691,1734775
1538691,1735334
1538691,1735480
1538691,1673132
1538691,1734213
1538691,1730082
1437209,1623547
1437209,1673876
1437209,1673485
1437209,1674749
1437443,1771477
1437443,1726755
1437443,1770580
1437443,1734277
1437443,1726497
1437443,1673477
1437443,1725203
1437443,1730930
1141114,1727277
1141114,1673332
1141114,1670766
1141114,1726431
1141114,1673490
1141114,1673920
1141114,1734134
1541528,1673342
1541528,1735890
1541528,1770818
1541528,1727707
1541528,1729322
1541528,1727962
1541528,1674138
1541528,1734874
1541528,1724301
1141430,1643764
1141430,1643819
1141430,1673499
1141430,1540769
1141430,1674764
1141430,1673363
1436980,1673772
1436980,1731186
1436980,1624979
1436980,1725754
1436980,1724357
1436980,1726816
1436980,1734427
1436980,1674530
1436980,1735343
1436980,1734433
1139424,1673822
1139424,1673230
1139424,1674296
1139424,1643498
1139424,1674175
1146618,1674747
1146618,1674501
1146618,1673680
1436866,1673046
1436866,1674358
1537989,1674538
1537989,1673710
1537989,1674632
1537989,1674474
1537989,1674452
1525082,1674751
1525082,1673137
1525082,1724674
1525082,1724705
1525082,1731243
1525082,1731267
1525082,1730343
1525082,1731189
1527262,1736878
1527262,1670197
1527262,1630153
1527262,1674427
1527262,1770167
1527262,1535189
1527262,1674359
1527262,1730169
1527262,1724749
1527262,1674478
1522522,1731988
1522522,1734322
1522522,1723562
1522522,1729863
1522522,1771206
1522522,1725221
1522522,1730524
1522522,1734559
1225942,1722732
1225942,1725598
1225942,1732843
1225942,1735235
1225942,1735582
1427918,1723609
1427918,1726292
1427918,1727649
1427918,1673847
1427918,1725886
1427918,1724235
1430562,1729431
1430562,1729060
1430562,1632215
1430562,1670286
1430562,1674549
1430562,1674014
1430562,1525225
1430562,1724732
1425802,1725403
1425802,1726572
1425802,1729711
1425802,1730939
1425802,1733640
1527858,1674211
1527858,1729460
1527858,1730218
1527858,1670133
1527858,1730197
1527858,1673612
1527858,1674411
1423014,1674196
1423014,1734124
1423014,1673523
1423014,1674744
1429605,1670584
1429605,1674679
1429605,1674319
1429605,1631928
1429605,1734417
1437410,1674299
1437410,1736848
1437410,1735136
1437410,1730204
1331495,1673512
1331495,1770602
1331495,1674753
1331495,1622197
1331495,1731846
1331495,1731387
1331495,1670001
1540479,1731142
1540479,1674271
1540479,1674142
1540479,1674208
1540479,1731266
1428741,1733625
1428741,1731730
1428741,1670185
1428741,1629846
1428741,1722228
1439943,1770140
1439943,1632078
1439943,1673507
1439943,1736166
1439943,1522008
1432923,1670016
1432923,1673017
1432923,1771168
1432923,1725243
1432923,1522061
1410232,1529058
1410232,1522177
1410232,1673923
1410232,1674156
1410232,1724625
1526191,1522165
1526191,1735987
1526191,1733171
1526191,1725172
1526191,1770152
1526191,1735131
1510075,1771347
1510075,1733142
1510075,1729672
1510075,1770686
1510075,1730922
1510075,1724233
1510075,1726300
1510075,1723265
1510075,1730004
1423596,1623716
1423596,1770053
1423596,1770769
1423596,1770600
1423596,1770229
1423596,1731629
1423596,1725707
1423596,1734711
1423596,1674566
1423596,1674298
1423596,1725008
1423596,1734721
1338155,1736215
1338155,1729278
1338155,1673875
1338155,1674124
1338155,1643388
1338155,1674203
1338155,1730926
1632315,1725750
1632315,1725928
1632315,1723504
1632315,1729048
1632315,1770789
1632315,1727871
1341495,1671111
1341495,1730396
1341495,1731097
1341495,1727885
1341495,1730604
1236773,1623067
1236773,1730327
1236773,1627331
1236773,1726265
1326937,1624236
1326937,1733443
1326937,1770811
1326937,1727066
1326937,1733673
1326937,1733790
1424564,1770227
1424564,1728176
1424564,1731297
1424564,1731410
1424564,1734367
1424564,1522023
1424564,1735699
